Карта;Название рус.;Раритетность;Издание;Цвет;Тип;Язык;Состояние;Фойл;Кол-во;Кол-во на продажу;Цена;Комментарий
Calibrated Blast;Просчитанный Взрыв;Rare;mh2;R;instant;ru;NM;0;1;1;32;
Galvanic Relay;Гальваническое Реле;Common;mh2;R;sorcery;ru;NM;0;4;4;15;
Galvanic Relay;Гальваническое Реле;Common;mh2;R;sorcery;en;NM;1;2;2;21;
Mine Collapse;Обрушение Шахты;Common;mh2;R;instant;ru;NM;0;4;4;15;
Mine Collapse;Обрушение Шахты;Common;mh2;R;instant;en;NM;1;2;2;19;
Glimmer Bairn;Мерцающее Дитя;Common;mh2;G;creature;ru;NM;0;4;4;16;
Goblin Anarchomancer;Гоблин-Анархомант;Common;mh2;RG;creature;ru;NM;0;4;4;16;
Goblin Anarchomancer;Гоблин-Анархомант;Common;mh2;RG;creature;en;NM;1;1;1;39;
Vedalken Aethermage;Эфиромаг Ведалкенов;Common;fut;U;creature;ru;SP;0;1;1;47;
Shardless Agent;Агент без Осколка;Rare;mh2;UG;artifact creature;ru;NM;0;2;2;216;
Terminal Agony;Предсмертная Агония;Common;mh2;BR;sorcery;ru;NM;0;4;4;13;
Terminal Agony;Предсмертная Агония;Common;mh2;BR;sorcery;en;NM;1;2;2;16;
Liquimetal Torque;Жидкометаллический Обруч;Uncommon;mh2;;artifact;en;NM;1;1;1;79;
Ornithopter of Paradise;Райский Орнитоптер;Common;mh2;;artifact creature;ru;NM;0;4;4;20;
Ornithopter of Paradise;Райский Орнитоптер;Common;mh2;;artifact creature;en;NM;1;1;1;44;
Scion of Draco;Отпрыск Драко;Mythic Rare;mh2;;artifact creature;en;NM;1;1;1;427;
Sol Talisman;Солнечный Талисман;Rare;mh2;;artifact;en;NM;1;1;1;169;
Resurgent Belief;---;Rare;mh2;;sorcery;en;NM;0;1;1;76;
Inevitable Betrayal;---;Rare;mh2;;sorcery;en;NM;1;1;1;128;
Suspend;---;Rare;mh2;U;instant;en;NM;0;1;1;92;
Bloodbraid Marauder;---;Rare;mh2;R;creature;en;NM;0;1;1;32;
Bloodbraid Marauder;---;Rare;mh2;R;creature;en;NM;1;1;1;64;
Breya's Apprentice;---;Rare;mh2;R;artifact creature;en;NM;0;1;1;31;
Calibrated Blast;---;Rare;mh2;R;instant;en;NM;0;2;2;26;
Chitterspitter;---;Rare;mh2;G;artifact;en;NM;1;2;2;107;
Gaea's Will;---;Rare;mh2;;sorcery;en;NM;0;2;2;63;
Sol Talisman;---;Rare;mh2;;artifact;en;NM;0;1;1;108;
Augur of Skulls;Гадатель по Черепам;Common;fut;B;creature;ru;SP;0;2;2;25;
Augur of Skulls;Гадатель по Черепам;Common;fut;B;creature;en;SP;0;2;2;25;
Gaea's Will;Воля Геи;Rare;ptc;;sorcery;ru;NM;1;1;1;114;
Academy Manufactor;Производитель Академии;Rare;ptc;;artifact creature;ru;NM;1;1;1;313;
Nevinyrral's Disk;Диск Невиниррала;Rare;ptc;;artifact;ru;NM;0;1;1;25;
Sword of Hearth and Home;Меч Дома и Очага;Mythic Rare;ptc;;artifact;ru;NM;0;1;1;4900;
Karmic Guide;Кармическая Проводница;Rare;mh2;W;creature;en;NM;1;1;1;70;
Solitary Confinement;Одиночное Заключение;Rare;mh2;W;enchantment;en;NM;1;1;1;64;
Sea Drake;Морской Дрейк;Uncommon;mh2;U;creature;en;NM;1;1;1;25;
Wonder;Удивление;Rare;mh2;U;creature;en;NM;1;1;1;32;
Skirge Familiar;Скирж-Питомец;Uncommon;mh2;B;creature;en;NM;1;2;2;30;
Enchantress's Presence;Присутствие Чародейки;Rare;mh2;G;enchantment;en;NM;1;1;1;93;
Squirrel Mob;Беличья Стая;Rare;mh2;G;creature;en;NM;1;1;1;58;
Mirari's Wake;Пробуждение Мирари;Mythic Rare;mh2;WG;enchantment;en;NM;1;2;2;328;
Shardless Agent;Агент без Осколка;Rare;mh2;UG;artifact creature;en;NM;1;1;1;81;
Vindicate;Взыскание;Rare;mh2;WB;sorcery;en;NM;1;2;2;120;
Cursed Totem;Проклятый Тотем;Rare;mh2;;artifact;en;NM;1;1;1;136;
Mishra's Factory;Фабрика Мишры;Uncommon;mh2;;land;en;NM;1;1;1;32;
Blacksmith's Skill;Кузнечное Мастерство;Common;mh2;W;instant;en;NM;1;1;1;23;
Marble Gargoyle;Мраморная Горгулья;Common;mh2;W;artifact creature;en;NM;1;2;2;16;
Bridge from Below;Мост из Могилы;Rare;fut;B;enchantment;en;NM;0;1;1;277;
Aeromoeba;Аэромеба;Common;mh2;U;creature;en;NM;1;1;1;18;
Rishadan Dockhand;Ришадский Грузчик;Rare;mh2;U;creature;en;NM;1;1;1;79;
Step Through;Через Проход;Common;mh2;U;sorcery;en;NM;1;3;3;25;
Tide Shaper;Заклинатель Приливов;Uncommon;mh2;U;creature;en;NM;1;2;2;98;
Nested Shambler;Гнездовой Шаркун;Common;mh2;B;creature;ru;NM;1;1;1;22;
Vile Entomber;Жестокий Могильщик;Uncommon;mh2;B;creature;en;NM;1;1;1;76;
Chatterfang, Squirrel General;Трескоклык, Беличий Генерал;Mythic Rare;mh2;G;legendary creature;en;NM;1;1;1;536;
Chatterstorm;Трескучий Шторм;Common;mh2;G;sorcery;en;NM;1;2;2;32;
Squirrel Sovereign;Беличий Властитель;Uncommon;mh2;G;creature;en;NM;1;1;1;78;
Chainer, Nightmare Adept;Цепник, Адепт Кошмаров;Rare;mh2;BR;legendary creature;en;NM;1;1;1;55;
Goblin Anarchomancer;Гоблин-Анархомант;Common;mh2;RG;creature;en;NM;1;2;2;32;
Piru, the Volatile;Пиру Летучая;Rare;mh2;WBR;legendary creature;en;NM;1;2;2;77;
Shardless Agent;Агент без Осколка;Rare;mh2;UG;artifact creature;en;NM;1;1;1;128;
Territorial Kavu;Территориальный Каву;Rare;mh2;RG;creature;en;NM;1;1;1;64;
Ornithopter of Paradise;Райский Орнитоптер;Common;mh2;;artifact creature;en;NM;1;1;1;62;
Mountain;Гора;Common;mh2;;land land;en;NM;1;1;1;39;
Forest;Лес;Common;mh2;;land land;en;NM;1;1;1;32;
Generous Gift;---;Uncommon;mh1;W;instant;en;NM;1;2;2;175;
King of the Pride;---;Uncommon;mh1;W;creature;en;NM;1;1;1;32;
Tribute Mage;---;Uncommon;mh1;U;creature;en;NM;1;1;1;70;
Lavabelly Sliver;---;Uncommon;mh1;WR;creature;en;NM;1;1;1;32;
Soulherder;---;Uncommon;mh1;WU;creature;en;NM;1;1;1;114;
Talisman of Conviction;---;Uncommon;mh1;;artifact;en;NM;1;1;1;168;
Talisman of Creativity;---;Uncommon;mh1;;artifact;en;NM;1;2;2;224;
Talisman of Resilience;---;Uncommon;mh1;;artifact;en;NM;1;1;1;101;
Hall of Heliod's Generosity;---;Rare;mh1;;legendary land;en;NM;1;1;1;528;
King of the Pride;---;Uncommon;mh1;W;creature;en;NM;1;2;2;32;
Etchings of the Chosen;---;Uncommon;mh1;WB;enchantment;en;NM;1;1;1;32;
Lavabelly Sliver;---;Uncommon;mh1;WR;creature;en;NM;1;1;1;35;
Talisman of Resilience;---;Uncommon;mh1;;artifact;en;NM;1;2;2;110;
Clue - Beast;Улика Зверь;Common;mh2;;;en;NM;1;1;1;22;
Clue - Goblin;Улика Гоблин;Common;mh2;;;en;NM;1;1;1;37;
Clue - Zombie;Улика Зомби;Common;mh2;;;en;NM;1;0;0;19;
Clue - Beast;Улика Зверь;Common;mh2;;;ru;NM;1;2;2;25;
Clue - Golem;Улика Голем;Common;mh2;;;en;NM;1;1;1;29;
Clue - Thopter;Улика Топтер;Common;mh2;;;en;NM;1;1;1;16;
Food - Beast;Еда Зверь;Common;mh2;;;en;NM;1;1;1;20;
Food - Bird;Еда Птица;Common;mh2;;;en;NM;1;1;1;16;
Food - Thopter;Еда Топтер;Common;mh2;;;en;NM;1;1;1;18;
Food - Crab;Еда Конструкция;Common;mh2;;;en;NM;1;1;1;20;
Squirrel - Beast ;Белка Зверь;Common;mh2;;;ru;NM;1;1;1;23;
Squirrel - Bird;Белка Птица;Common;mh2;;;en;NM;1;3;3;17;
Squirrel - Phyrexian Germ;Белка Фирексиец Микроб;Common;mh2;;;en;NM;1;1;1;23;
Squirrel - Thopter ;Белка Топтер;Common;mh2;;;en;NM;1;1;1;16;
Squirrel - Zombie;Белка Зомби;Common;mh2;;;en;NM;1;1;1;68;
Treasure - Crab;Клад Краб;Common;mh2;;;en;NM;1;2;2;18;
Treasure - Insect;Клад Насекомое;Common;mh2;;;en;NM;1;1;1;32;
+2 Mace;Булава +2;Common;afr;W;artifact;ru;NM;0;4;4;13;
Arborea Pegasus;Пегас из Арбореи;Common;afr;W;creature;ru;NM;0;4;4;10;
Blink Dog;Мерцающий Пес;Uncommon;afr;W;creature;ru;NM;0;4;4;15;
The Book of Exalted Deeds;Книга Возвышенных Деяний;Mythic Rare;afr;W;legendary artifact;ru;NM;0;2;2;510;
Celestial Unicorn;Небесный Единорог;Common;afr;W;creature;ru;NM;0;4;4;13;
Celestial Unicorn;Небесный Единорог;Common;afr;W;creature;ru;NM;1;1;1;16;
Cleric Class;Класс: Жрец;Uncommon;afr;W;enchantment;ru;NM;0;4;4;48;
Cloister Gargoyle;Монастырская Горгулья;Uncommon;afr;W;artifact creature;ru;NM;0;4;4;15;
Dawnbringer Cleric;Несущий Зарю Жрец;Common;afr;W;creature;ru;NM;0;4;4;13;
Delver's Torch;Факел Исследователя;Common;afr;W;artifact;ru;NM;0;4;4;11;
Devoted Paladin;Преданный Паладин;Common;afr;W;creature;ru;NM;0;8;8;11;
Divine Smite;Божественная Кара;Uncommon;afr;W;instant;ru;NM;0;4;4;16;
Dragon's Disciple;Ученик Дракона;Uncommon;afr;W;creature;ru;NM;0;8;8;16;
Dwarfhold Champion;Воительница Твердыни Дварфов;Common;afr;W;creature;ru;NM;0;4;4;11;
Flumph;Фламф;Rare;afr;W;creature;ru;NM;0;4;4;31;
Gloom Stalker;Мрачный Выслеживатель;Common;afr;W;creature;ru;NM;0;4;4;10;
Gloom Stalker;Мрачный Выслеживатель;Common;afr;W;creature;ru;NM;1;1;1;16;
Grand Master of Flowers;Магистр Цветов;Mythic Rare;afr;W;legendary planeswalker;ru;NM;0;1;1;202;
Guardian of Faith;Страж Веры;Rare;afr;W;creature;ru;NM;0;3;3;182;
Half-Elf Monk;Полуэльфийская Монахиня;Common;afr;W;creature;ru;NM;0;4;4;16;
Half-Elf Monk;Полуэльфийская Монахиня;Common;afr;W;creature;ru;NM;1;1;1;16;
Icingdeath, Frost Tyrant;Ледяная Смерть, Морозный Тиран;Mythic Rare;afr;W;legendary creature;ru;NM;0;1;1;209;
Keen-Eared Sentry;Чуткая Часовая;Uncommon;afr;W;creature;ru;NM;0;4;4;16;
Minimus Containment;Удержание Минимуса;Common;afr;W;enchantment;ru;NM;0;4;4;15;
Monk of the Open Hand;Монах Открытой Ладони;Uncommon;afr;W;creature;ru;NM;0;4;4;18;
Moon-Blessed Cleric;Благословенная Луной Жрица;Uncommon;afr;W;creature;ru;NM;0;4;4;24;
Nadaar, Selfless Paladin;Надаар, Самоотверженный Паладин;Rare;afr;W;legendary creature;ru;NM;0;4;4;70;
Oswald Fiddlebender;Освальд Фиддлбендер;Rare;afr;W;legendary creature;ru;NM;0;4;4;128;
Paladin's Shield;Щит Паладина;Common;afr;W;artifact;ru;NM;0;4;4;11;
Planar Ally;Планарная Союзница;Common;afr;W;creature;ru;NM;0;4;4;17;
Plate Armor;Латный Доспех;Uncommon;afr;W;artifact;ru;NM;0;4;4;18;
Potion of Healing;Зелье Исцеления;Common;afr;W;artifact;ru;NM;0;4;4;13;
Priest of Ancient Lore;Священник Древних Знаний;Common;afr;W;creature;ru;NM;0;4;4;17;
Rally Maneuver;Маневр Сплочения;Uncommon;afr;W;instant;ru;NM;0;4;4;18;
Ranger's Hawk;Ястреб Следопыта;Common;afr;W;creature;ru;NM;0;4;4;15;
Steadfast Paladin;Непреклонный Паладин;Common;afr;W;creature;ru;NM;0;4;4;15;
Teleportation Circle;Круг Телепортации;Rare;afr;W;enchantment;ru;NM;0;4;4;169;
Veteran Dungeoneer;Ветеран Подземелий;Common;afr;W;creature;ru;NM;0;4;4;13;
Veteran Dungeoneer;Ветеран Подземелий;Common;afr;W;creature;ru;NM;1;1;1;16;
White Dragon;Белый Дракон;Uncommon;afr;W;creature;ru;NM;0;4;4;18;
You Hear Something on Watch;Вы Что-то Слышите в Карауле;Common;afr;W;instant;ru;NM;0;4;4;13;
You're Ambushed on the Road;Вы Попали в Засаду на Дороге;Common;afr;W;instant;ru;NM;0;4;4;13;
You're Ambushed on the Road;Вы Попали в Засаду на Дороге;Common;afr;W;instant;ru;NM;1;2;2;16;
Aberrant Mind Sorcerer;Чародейка Отклоняющегося Разума;Uncommon;afr;U;creature;ru;NM;0;4;4;16;
Air-Cult Elemental;Элементаль Культа Воздуха;Common;afr;U;creature;ru;NM;0;4;4;10;
Arcane Investigator;Волшебный Дознаватель;Common;afr;U;creature;ru;NM;0;4;4;10;
Arcane Investigator;Волшебный Дознаватель;Common;afr;U;creature;ru;NM;1;1;1;16;
Bar the Gate;Запереть Врата;Common;afr;U;instant;ru;NM;0;4;4;11;
Blue Dragon;Синий Дракон;Uncommon;afr;U;creature;ru;NM;0;4;4;13;
Charmed Sleep;Колдовской Сон;Common;afr;U;enchantment;ru;NM;0;4;4;10;
Charmed Sleep;Колдовской Сон;Common;afr;U;enchantment;ru;NM;1;3;3;16;
Clever Conjurer;Умный Призыватель;Common;afr;U;creature;ru;NM;0;4;4;11;
Contact Other Plane;Связь с Иным Планом;Common;afr;U;instant;ru;NM;0;4;4;10;
Displacer Beast;Ускользающий Зверь;Uncommon;afr;U;creature;ru;NM;0;4;4;16;
Djinni Windseer;Джинн, Провидица Ветра;Common;afr;U;creature;ru;NM;0;4;4;10;
Dragon Turtle;Драконовая Черепаха;Rare;afr;U;creature;ru;NM;0;1;1;32;
Eccentric Apprentice;Эксцентричная Ученица;Uncommon;afr;U;creature;ru;NM;0;4;4;15;
Eccentric Apprentice;Эксцентричная Ученица;Uncommon;afr;U;creature;ru;NM;1;1;1;16;
Feywild Trickster;Плутовка из Страны Фей;Uncommon;afr;U;creature;ru;NM;0;4;4;16;
Fly;Полететь;Uncommon;afr;U;enchantment;ru;NM;0;4;4;15;
Grazilaxx, Illithid Scholar;Гразилакс, Ученый Иллитидов;Rare;afr;U;legendary creature;ru;NM;0;4;4;36;
Guild Thief;Воровка из Гильдии;Uncommon;afr;U;creature;ru;NM;0;4;4;18;
Iymrith, Desert Doom;Йимрит, Погибель Пустыни;Mythic Rare;afr;U;legendary creature;ru;NM;0;1;1;513;
Mind Flayer;Свежеватель Разума;Rare;afr;U;creature;ru;NM;0;1;1;33;
Mordenkainen;Морденкайнен;Mythic Rare;afr;U;legendary planeswalker;ru;NM;0;1;1;266;
Mordenkainen's Polymorph;Полиморф Морденкайнена;Common;afr;U;instant;ru;NM;0;4;4;15;
Pixie Guide;Пикси-Проводница;Common;afr;U;creature;ru;NM;0;4;4;15;
Pixie Guide;Пикси-Проводница;Common;afr;U;creature;ru;NM;1;1;1;16;
Power of Persuasion;Сила Убеждения;Uncommon;afr;U;sorcery;ru;NM;0;4;4;17;
Ray of Frost;Морозный Луч;Uncommon;afr;U;enchantment;ru;NM;0;4;4;18;
Ray of Frost;Морозный Луч;Uncommon;afr;U;enchantment;ru;NM;1;1;1;16;
Rimeshield Frost Giant;Великанша Индевелого Щита;Common;afr;U;creature;ru;NM;0;4;4;13;
Scion of Stygia;Отпрыск Стигии;Common;afr;U;creature;ru;NM;0;4;4;11;
Secret Door;Потайная Дверь;Common;afr;U;artifact creature;ru;NM;0;4;4;13;
Shocking Grasp;Шоковое Прикосновение;Common;afr;U;instant;ru;NM;0;4;4;11;
Shortcut Seeker;Искатель Проходов;Common;afr;U;creature;ru;NM;0;4;4;12;
Silver Raven;Серебряный Ворон;Common;afr;U;artifact creature;ru;NM;0;4;4;13;
Silver Raven;Серебряный Ворон;Common;afr;U;artifact creature;ru;NM;1;1;1;16;
Soulknife Spy;Шпионка Кинжалов Духа;Common;afr;U;creature;ru;NM;0;4;4;12;
Soulknife Spy;Шпионка Кинжалов Духа;Common;afr;U;creature;ru;NM;1;1;1;16;
Split the Party;Разделить Отряд;Uncommon;afr;U;sorcery;ru;NM;0;4;4;18;
Sudden Insight;Внезапное Озарение;Uncommon;afr;U;instant;ru;NM;0;6;6;18;
Sudden Insight;Внезапное Озарение;Uncommon;afr;U;instant;ru;NM;1;1;1;16;
Trickster's Talisman;Талисман Мошенника;Uncommon;afr;U;artifact;ru;NM;0;4;4;18;
Trickster's Talisman;Талисман Мошенника;Uncommon;afr;U;artifact;ru;NM;1;1;1;23;
True Polymorph;Истинный Полиморф;Rare;afr;U;instant;ru;NM;0;4;4;23;
True Polymorph;Истинный Полиморф;Rare;afr;U;instant;ru;NM;1;1;1;31;
Wizard Class;Класс: Волшебник;Uncommon;afr;U;enchantment;ru;NM;0;4;4;40;
Wizard's Spellbook;Книга Заклинаний Волшебника;Rare;afr;U;artifact;ru;NM;0;4;4;32;
You Come to a River;Вы Приходите к Реке;Common;afr;U;instant;ru;NM;0;4;4;13;
You Find the Villains' Lair;Вы Находите Логово Злодеев;Common;afr;U;instant;ru;NM;0;4;4;14;
You See a Guard Approach;Вы Видите Приближение Стражника;Common;afr;U;instant;ru;NM;0;4;4;12;
Yuan-Ti Malison;Проклинатель Юань-Ти;Rare;afr;U;creature;ru;NM;0;4;4;32;
Acererak the Archlich;Архилич Асерерак;Mythic Rare;afr;B;legendary creature;ru;NM;0;2;2;537;
Asmodeus the Archfiend;Архидемон Асмодей;Rare;afr;B;legendary creature;ru;NM;0;2;2;48;
Baleful Beholder;Гибельный Злобоглаз;Common;afr;B;creature;ru;NM;0;4;4;10;
Baleful Beholder;Гибельный Злобоглаз;Common;afr;B;creature;ru;NM;1;1;1;16;
Black Dragon;Черный Дракон;Uncommon;afr;B;creature;ru;NM;0;4;4;16;
The Book of Vile Darkness;Книга Мерзкой Тьмы;Mythic Rare;afr;B;legendary artifact;ru;NM;0;1;1;158;
Check for Traps;Поиск Ловушек;Uncommon;afr;B;sorcery;ru;NM;0;4;4;16;
Clattering Skeletons;Гремящие Скелеты;Common;afr;B;creature;ru;NM;0;4;4;10;
Clattering Skeletons;Гремящие Скелеты;Common;afr;B;creature;ru;NM;1;1;1;16;
Death-Priest of Myrkul;Жрица Смерти Миркула;Uncommon;afr;B;creature;ru;NM;0;4;4;18;
Death-Priest of Myrkul;Жрица Смерти Миркула;Uncommon;afr;B;creature;ru;NM;1;2;2;23;
Demogorgon's Clutches;Хватка Демогоргона;Uncommon;afr;B;sorcery;ru;NM;0;4;4;16;
Devour Intellect;Пожирание Интеллекта;Common;afr;B;sorcery;ru;NM;0;4;4;10;
Devour Intellect;Пожирание Интеллекта;Common;afr;B;sorcery;ru;NM;1;1;1;16;
Drider;Драук;Uncommon;afr;B;creature;ru;NM;0;4;4;15;
Dungeon Crawler;Скиталец Подземелья;Uncommon;afr;B;creature;ru;NM;0;4;4;16;
Eyes of the Beholder;Глаза Злобоглаза;Common;afr;B;instant;ru;NM;0;4;4;13;
Fates' Reversal;Обращение Судеб;Common;afr;B;sorcery;ru;NM;0;4;4;11;
Feign Death;Притвориться Мертвым;Common;afr;B;instant;ru;NM;0;4;4;13;
Forsworn Paladin;Поклявшийся Паладин;Rare;afr;B;creature;ru;NM;0;2;2;33;
Grim Bounty;Жуткая Добыча;Common;afr;B;sorcery;ru;NM;0;4;4;13;
Grim Wanderer;Мрачный Странник;Uncommon;afr;B;creature;ru;NM;0;4;4;19;
Herald of Hadar;Вестник Хадара;Common;afr;B;creature;ru;NM;0;4;4;14;
Herald of Hadar;Вестник Хадара;Common;afr;B;creature;ru;NM;1;2;2;16;
Hired Hexblade;Наемный Колдовской Клинок;Common;afr;B;creature;ru;NM;0;4;4;14;
Hoard Robber;Расхитительница Сокровищниц;Common;afr;B;creature;ru;NM;0;4;4;18;
Hoard Robber;Расхитительница Сокровищниц;Common;afr;B;creature;ru;NM;1;1;1;19;
Lightfoot Rogue;Легконогий Плут;Uncommon;afr;B;creature;ru;NM;0;4;4;18;
Lightfoot Rogue;Легконогий Плут;Uncommon;afr;B;creature;ru;NM;1;1;1;16;
Manticore;Мантикора;Common;afr;B;creature;ru;NM;0;4;4;13;
Power Word Kill;Слово Силы: Смерть;Uncommon;afr;B;instant;ru;NM;0;4;4;28;
Precipitous Drop;Отвесный Обрыв;Common;afr;B;enchantment;ru;NM;0;4;4;10;
Precipitous Drop;Отвесный Обрыв;Common;afr;B;enchantment;ru;NM;1;1;1;16;
Ray of Enfeeblement;Ослабляющий Луч;Uncommon;afr;B;instant;ru;NM;0;4;4;18;
Reaper's Talisman;Талисман Жнеца;Uncommon;afr;B;artifact;ru;NM;0;5;5;31;
Reaper's Talisman;Талисман Жнеца;Uncommon;afr;B;artifact;ru;NM;1;2;2;19;
Sepulcher Ghoul;Упырь Гробницы;Common;afr;B;creature;ru;NM;0;8;8;13;
Shambling Ghast;Шаркающая Вурдалачка;Common;afr;B;creature;ru;NM;0;4;4;18;
Skullport Merchant;Торговка из Скуллпорта;Uncommon;afr;B;creature;ru;NM;0;4;4;19;
Sphere of Annihilation;Сфера Аннигиляции;Rare;afr;B;artifact;ru;NM;0;3;3;33;
Thieves' Tools;Воровские Инструменты;Common;afr;B;artifact;ru;NM;0;4;4;18;
Thieves' Tools;Воровские Инструменты;Common;afr;B;artifact;ru;NM;1;1;1;16;
Vampire Spawn;Вампирское Отродье;Common;afr;B;creature;ru;NM;0;4;4;12;
Vorpal Sword;Меч-Головоруб;Rare;afr;B;artifact;ru;NM;0;4;4;99;
Vorpal Sword;Меч-Головоруб;Rare;afr;B;artifact;ru;NM;1;1;1;219;
Warlock Class;Класс: Колдун;Uncommon;afr;B;enchantment;ru;NM;0;4;4;22;
Westgate Regent;Регент Вестгейта;Rare;afr;B;creature;ru;NM;0;4;4;40;
Westgate Regent;Регент Вестгейта;Rare;afr;B;creature;ru;NM;1;2;2;63;
Yuan-Ti Fang-Blade;Клинок-Зуб Юань-Ти;Common;afr;B;creature;ru;NM;0;4;4;13;
Zombie Ogre;Огр-Зомби;Common;afr;B;creature;ru;NM;0;4;4;13;
Zombie Ogre;Огр-Зомби;Common;afr;B;creature;ru;NM;1;1;1;16;
Armory Veteran;Ветеран Арсенала;Common;afr;R;creature;ru;NM;0;4;4;13;
Armory Veteran;Ветеран Арсенала;Common;afr;R;creature;ru;NM;1;1;1;16;
Barbarian Class;Класс: Варвар;Uncommon;afr;R;enchantment;ru;NM;0;4;4;17;
Battle Cry Goblin;Гоблин Боевого Клича;Uncommon;afr;R;creature;ru;NM;0;4;4;25;
Boots of Speed;Сапоги Скорости;Common;afr;R;artifact;ru;NM;0;4;4;12;
Boots of Speed;Сапоги Скорости;Common;afr;R;artifact;ru;NM;1;1;1;16;
Brazen Dwarf;Латунный Дварф;Common;afr;R;creature;ru;NM;0;4;4;11;
Burning Hands;Пылающие Руки;Uncommon;afr;R;instant;ru;NM;0;4;4;16;
Chaos Channeler;Проводник Хаоса;Uncommon;afr;R;creature;ru;NM;0;4;4;15;
Critical Hit;Критический Удар;Uncommon;afr;R;instant;ru;NM;0;4;4;15;
Delina, Wild Mage;Делина, Дикий Маг;Rare;afr;R;legendary creature;ru;NM;0;4;4;82;
Delina, Wild Mage;Делина, Дикий Маг;Rare;afr;R;legendary creature;ru;NM;1;1;1;96;
Dragon's Fire;Драконье Пламя;Common;afr;R;instant;ru;NM;0;4;4;16;
Dueling Rapier;Дуэльная Рапира;Common;afr;R;artifact;ru;NM;0;4;4;11;
Dueling Rapier;Дуэльная Рапира;Common;afr;R;artifact;ru;NM;1;1;1;16;
Earth-Cult Elemental;Элементаль Культа Земли;Common;afr;R;creature;ru;NM;0;4;4;10;
Farideh's Fireball;Огненный Шар Фариде;Common;afr;R;instant;ru;NM;0;4;4;10;
Goblin Javelineer;Гоблинская Копейщица;Common;afr;R;creature;ru;NM;0;4;4;13;
Goblin Morningstar;Гоблинский Моргенштерн;Uncommon;afr;R;artifact;ru;NM;0;4;4;18;
Hoarding Ogre;Жадная Огресса;Common;afr;R;creature;ru;NM;0;4;4;15;
Hoarding Ogre;Жадная Огресса;Common;afr;R;creature;ru;NM;1;1;1;16;
Hobgoblin Captain;Капитанша Хобгоблинов;Common;afr;R;creature;ru;NM;0;4;4;13;
Hulking Bugbear;Громадный Багбер;Uncommon;afr;R;creature;ru;NM;0;4;4;18;
Improvised Weaponry;Импровизированное Оружие;Common;afr;R;sorcery;ru;NM;0;4;4;13;
Improvised Weaponry;Импровизированное Оружие;Common;afr;R;sorcery;ru;NM;1;1;1;16;
Inferno of the Star Mounts;Инферно Звездных Гор;Mythic Rare;afr;R;legendary creature;ru;NM;0;4;4;641;
Jaded Sell-Sword;Усталая Наемница;Common;afr;R;creature;ru;NM;0;4;4;18;
Jaded Sell-Sword;Усталая Наемница;Common;afr;R;creature;ru;NM;1;1;1;16;
Kick in the Door;Вышибить Дверь;Common;afr;R;sorcery;ru;NM;0;4;4;10;
Magic Missile;Волшебная Стрела;Uncommon;afr;R;sorcery;ru;NM;0;4;4;18;
Magic Missile;Волшебная Стрела;Uncommon;afr;R;sorcery;ru;NM;1;1;1;31;
Meteor Swarm;Метеоритный Дождь;Rare;afr;R;sorcery;ru;NM;0;4;4;19;
Meteor Swarm;Метеоритный Дождь;Rare;afr;R;sorcery;ru;NM;1;1;1;32;
Orb of Dragonkind;Сфера Драконьего Рода;Rare;afr;R;artifact;ru;NM;0;4;4;57;
Plundering Barbarian;Варвар-Грабитель;Common;afr;R;creature;ru;NM;0;4;4;15;
Price of Loyalty;Цена Верности;Common;afr;R;sorcery;ru;NM;0;4;4;14;
Red Dragon;Красный Дракон;Uncommon;afr;R;creature;ru;NM;0;4;4;18;
Rust Monster;Ржавник;Uncommon;afr;R;creature;ru;NM;0;4;4;18;
Swarming Goblins;Кишащие Гоблины;Common;afr;R;creature;ru;NM;0;4;4;12;
Tiger-Tribe Hunter;Охотница из Племени Тигра;Uncommon;afr;R;creature;ru;NM;0;4;4;18;
Unexpected Windfall;Неожиданное Богатство;Common;afr;R;instant;ru;NM;0;4;4;15;
Valor Singer;Певец Доблести;Common;afr;R;creature;ru;NM;0;4;4;12;
Valor Singer;Певец Доблести;Common;afr;R;creature;ru;NM;1;1;1;16;
Wish;Желание;Rare;afr;R;sorcery;ru;NM;0;4;4;64;
Xorn;Зорн;Rare;afr;R;creature;ru;NM;0;3;3;204;
You Come to the Gnoll Camp;Вы Наткнулись на Лагерь Гноллов;Common;afr;R;instant;ru;NM;0;4;4;13;
You Find Some Prisoners;Вы Находите Пленников;Uncommon;afr;R;instant;ru;NM;0;4;4;22;
You See a Pair of Goblins;Вы Видите Двух Гоблинов;Uncommon;afr;R;instant;ru;NM;0;4;4;18;
Thunderblade Charge;Выпад Гром-Меча;Rare;fut;R;sorcery;ru;SP;0;1;1;26;
Zalto, Fire Giant Duke;Залто, Герцог Огненных Великанов;Rare;afr;R;legendary creature;ru;NM;0;4;4;23;
Bulette;Булей;Common;afr;G;creature;ru;NM;0;4;4;10;
Bulette;Булей;Common;afr;G;creature;ru;NM;1;1;1;16;
Bull's Strength;Бычья Сила;Common;afr;G;instant;ru;NM;0;4;4;10;
Choose Your Weapon;Выбор Оружия;Uncommon;afr;G;instant;ru;NM;0;4;4;15;
Circle of Dreams Druid;Друид Круга Снов;Rare;afr;G;creature;ru;NM;0;3;3;529;
Circle of the Moon Druid;Друид Круга Луны;Common;afr;G;creature;ru;NM;0;4;4;10;
